                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.4058,                  1.087,                 1.5667,                 0.2823,                0.49719,                0.31673,                0.12435,                 1.8428,                 1.4193,                 2.2783,             0.00091027,             0.00091027,             0.00091027
                     57,                 1.5555,                 1.1439,                 1.5229,                0.24368,                0.43089,                0.31615,                0.12543,                 1.8536,                 1.4463,                 2.2405,             0.00090084,             0.00090084,             0.00090084
                     58,                 1.3385,                 1.0593,                 1.6381,                0.50843,                0.39284,                 0.4345,                0.15728,                 1.5872,                 1.3755,                 1.9404,             0.00089141,             0.00089141,             0.00089141
                     59,                 1.3372,                 1.0548,                 1.6146,                0.36092,                0.55734,                0.44186,                0.20675,                 1.3329,                 1.2078,                 1.6665,             0.00088198,             0.00088198,             0.00088198
                     60,                  1.422,                 1.0135,                 1.5593,                0.34509,                 0.6264,                0.48062,                0.23437,                 1.3039,                 1.1185,                 1.6326,             0.00087255,             0.00087255,             0.00087255
                     61,                 1.4151,                  1.081,                 1.7474,                0.37098,                 0.6446,                0.49193,                0.22075,                 1.3691,                   1.11,                 1.7433,             0.00086312,             0.00086312,             0.00086312
                     62,                 1.2777,                  1.006,                 1.4986,                0.38456,                0.62869,                0.49958,                0.23453,                 1.3778,                 1.0827,                 1.7488,             0.00085368,             0.00085368,             0.00085368
                     63,                 1.3906,                 1.1822,                 1.6193,                 0.4786,                0.59532,                 0.5094,                0.23891,                 1.3498,                 1.0843,                 1.6708,             0.00084425,             0.00084425,             0.00084425
                     64,                 1.4818,                 1.2202,                 1.8453,                0.48473,                0.62673,                0.50332,                0.24204,                 1.3138,                  1.046,                 1.5959,             0.00083482,             0.00083482,             0.00083482
                     65,                 1.4341,                 1.0472,                 1.5678,                0.53534,                0.65986,                0.59771,                 0.2943,                  1.287,                 1.0102,                 1.5811,             0.00082539,             0.00082539,             0.00082539
                     66,                 1.6093,                 1.1726,                 2.0367,                0.56038,                0.65609,                0.58439,                0.27289,                 1.2693,                 1.0308,                 1.6055,             0.00081596,             0.00081596,             0.00081596
                     67,                 1.3154,                0.97577,                 1.5704,                0.54206,                0.67219,                0.61351,                0.28213,                 1.2545,                 1.0391,                 1.6056,             0.00080653,             0.00080653,             0.00080653
                     68,                 1.4917,                 1.1476,                 1.5473,                0.48218,                0.67721,                 0.6063,                 0.3138,                 1.2489,                 1.0499,                 1.6167,              0.0007971,              0.0007971,              0.0007971
                     69,                 1.4489,                 1.1971,                 1.6303,                0.73392,                0.48598,                 0.5943,                0.32158,                 1.2626,                  1.067,                 1.6203,             0.00078766,             0.00078766,             0.00078766
                     70,                 1.3352,                 1.1426,                 1.7338,                0.75847,                0.50033,                0.61884,                0.32713,                 1.2296,                 1.0289,                 1.5807,             0.00077823,             0.00077823,             0.00077823
                     71,                 1.3952,                 1.1424,                 1.5687,                0.46998,                0.66402,                0.63394,                0.33432,                 1.2502,                 1.0219,                 1.5634,              0.0007688,              0.0007688,              0.0007688
                     72,                 1.4855,                 1.1365,                 1.6963,                0.38361,                0.64353,                0.57104,                0.28478,                 1.2478,                 1.0292,                 1.5672,             0.00075937,             0.00075937,             0.00075937
                     73,                 1.3887,                 1.0955,                 1.7059,                0.38012,                0.63564,                0.55327,                0.29011,                 1.2343,                0.99158,                   1.58,             0.00074994,             0.00074994,             0.00074994
                     74,                 1.2248,                0.98044,                 1.5141,                0.45126,                0.64855,                0.64121,                0.34618,                 1.2311,                0.94947,                   1.58,             0.00074051,             0.00074051,             0.00074051
                     75,                 1.2926,                 1.0856,                 1.4812,                0.55712,                0.65361,                0.65167,                  0.367,                 1.2331,                0.94052,                 1.5905,             0.00073108,             0.00073108,             0.00073108
                     76,                 1.4142,                 1.0653,                 1.5497,                0.56355,                0.64541,                0.62471,                0.36914,                 1.2235,                0.93752,                 1.6028,             0.00072164,             0.00072164,             0.00072164
                     77,                   1.29,                0.97031,                 1.5176,                0.59401,                0.63183,                0.60258,                0.32314,                 1.2765,                0.96072,                 1.6753,             0.00071221,             0.00071221,             0.00071221
                     78,                 1.3022,                0.93957,                 1.5328,                 0.5989,                0.62645,                0.59308,                0.31546,                 1.2604,                0.96703,                 1.6483,             0.00070278,             0.00070278,             0.00070278
                     79,                 1.4568,                  1.049,                 1.5368,                0.59313,                0.64685,                0.59786,                0.32033,                 1.2165,                0.94527,                 1.6026,             0.00069335,             0.00069335,             0.00069335
                     80,                 1.3387,                 1.0835,                 1.5857,                0.64323,                0.65484,                0.62972,                0.34532,                 1.1993,                0.90138,                 1.5914,             0.00068392,             0.00068392,             0.00068392
                     81,                   1.36,                 1.0841,                 1.4885,                0.70817,                0.71002,                0.70157,                0.37766,                 1.2198,                0.90709,                 1.6359,             0.00067449,             0.00067449,             0.00067449
                     82,                 1.4928,                 1.0958,                 1.7843,                0.73994,                0.68387,                0.69547,                0.35643,                 1.3414,                0.97487,                 1.7769,             0.00066506,             0.00066506,             0.00066506
                     83,                  1.284,                 1.0369,                 1.5221,                0.74921,                0.69039,                 0.7047,                0.35055,                 1.3093,                0.98482,                 1.7382,             0.00065563,             0.00065563,             0.00065563
                     84,                 1.2809,                0.99055,                 1.5993,                0.76441,                0.63691,                0.68803,                0.35437,                 1.2193,                0.94806,                 1.6234,             0.00064619,             0.00064619,             0.00064619
                     85,                 1.4492,                 1.0082,                 1.5288,                0.78206,                0.69493,                 0.7163,                  0.361,                 1.1822,                0.90016,                  1.566,             0.00063676,             0.00063676,             0.00063676
                     86,                 1.2884,                 1.0317,                 1.5985,                0.79018,                0.67986,                0.71939,                0.38717,                 1.1784,                0.88677,                 1.5657,             0.00062733,             0.00062733,             0.00062733
                     87,                 1.2854,                0.94973,                  1.645,                0.78871,                0.69533,                0.73472,                0.39575,                 1.1838,                0.88763,                 1.5653,              0.0006179,              0.0006179,              0.0006179
                     88,                 1.3052,                  1.021,                 1.5226,                0.82908,                0.69469,                0.73455,                0.40655,                 1.1946,                0.92651,                  1.576,             0.00060847,             0.00060847,             0.00060847
                     89,                 1.4437,                 1.1699,                 1.7809,                0.72586,                0.71484,                0.71099,                 0.3937,                 1.1953,                0.95526,                 1.5701,             0.00059904,             0.00059904,             0.00059904
                     90,                 1.5281,                 1.2743,                 2.0449,                0.75502,                0.67191,                0.67267,                0.35989,                 1.2331,                 1.0106,                 1.5941,             0.00058961,             0.00058961,             0.00058961
                     91,                  1.238,                0.96834,                 1.5454,                0.59485,                0.62695,                 0.5856,                0.32417,                 1.2684,                 1.0452,                 1.6191,             0.00058017,             0.00058017,             0.00058017
                     92,                 1.3319,                 1.0061,                 1.6098,                0.85407,                0.69257,                0.73222,                0.35443,                  1.212,                0.97587,                 1.5899,             0.00057074,             0.00057074,             0.00057074
